run_id,suite_id,suite_version,suite_hash,model_id,provider,task_id,title,category,prompt,status,score,latency_ms,input_tokens,output_tokens,total_tokens,estimated_cost_usd,error,output
e2e-fixture-refresh,dhevals-heavy-user-ptbr,0.2.0,ed4c29f2c37b9cb0a1a47ce0607af2c757dcd964495ecd8b35060f183cef4cf9,sacilm,fixture,research-conflicting-evidence,Research under conflicting evidence,Research,"Analise duas evidências conflitantes sobre uma decisão de busca corporativa. Separe fatos de inferências, explicite incerteza, indique o que ainda precisa ser verificado e recomende o próximo experimento. Não invente fontes.",pass,1.0,1820.0,1180,142,1322,,,"As evidências são conflitantes: a fonte A aponta ganho de recall, enquanto a fonte B registra aumento de falsos positivos. A incerteza principal é o efeito do domínio e do tamanho da consulta, que não foram controlados. Não há base para afirmar causalidade fora do conjunto observado. Minha recomendação é repetir um experimento A/B com métricas de precisão, custo e taxa de respostas com evidência, registrando os casos em que a decisão deve ser revisada."
e2e-fixture-refresh,dhevals-heavy-user-ptbr,0.2.0,ed4c29f2c37b9cb0a1a47ce0607af2c757dcd964495ecd8b35060f183cef4cf9,sacilm,fixture,document-version-compare,Document version comparison,Documents,"Compare duas versões de um brief operacional. Retorne somente JSON válido com versao_a, versao_b, mudancas, conflitos e rastreabilidade. Diferencie mudança de texto, mudança de prazo e conflito não resolvido.",pass,1.0,1240.0,980,92,1072,,,"{""versao_a"":""2026-07-01"",""versao_b"":""2026-07-08"",""mudancas"":[""prazo da seção 3 mudou de sexta para segunda"",""owner do alerta foi incluído""],""conflitos"":[""Conflito: a seção 7 mantém o prazo antigo e precisa de adjudicação""],""rastreabilidade"":[""seção 3"",""seção 7""]}"
e2e-fixture-refresh,dhevals-heavy-user-ptbr,0.2.0,ed4c29f2c37b9cb0a1a47ce0607af2c757dcd964495ecd8b35060f183cef4cf9,sacilm,fixture,launch-plan-dependencies,Launch plan with dependencies,Planning,"Monte um plano de lançamento em duas semanas para uma equipe pequena. Inclua dependências, owners, riscos priorizados, critérios de saída e próximos passos. Mostre o que deve ser confirmado antes de qualquer compromisso externo.",pass,1.0,1490.0,1060,118,1178,,,"Semana 1: confirmar owners, escopo e dependências de dados; Dia 2: validar o fluxo crítico; Dia 4: revisar riscos e critérios de saída. Semana 2: executar piloto, medir o resultado e preparar o rollout. Riscos: aprovação atrasada, dado incompleto e suporte sem escala. Próximos passos: registrar owners, confirmar o orçamento e só assumir compromisso externo depois da validação do piloto."
e2e-fixture-refresh,dhevals-heavy-user-ptbr,0.2.0,ed4c29f2c37b9cb0a1a47ce0607af2c757dcd964495ecd8b35060f183cef4cf9,sacilm,fixture,cohort-analysis,Cohort analysis under uncertainty,Data,"Analise uma tabela sintética de retenção por coorte e retorne somente JSON válido com metodo, resultado, hipotese, recomendacao e limitacoes. Não transforme correlação em causalidade.",pass,1.0,2160.0,1430,112,1542,,,"{""metodo"":""comparação de retenção em 30 dias por coorte, com denominador explícito"",""resultado"":""a coorte B tem 11 pontos percentuais a mais que A no recorte observado"",""hipotese"":""o onboarding de B reduziu o abandono inicial, mas isso precisa de teste controlado"",""recomendacao"":""replicar o fluxo de B em uma nova coorte e medir retenção e ativação"",""limitacoes"":""a janela é curta, há viés de seleção e a associação não prova causalidade""}"
e2e-fixture-refresh,dhevals-heavy-user-ptbr,0.2.0,ed4c29f2c37b9cb0a1a47ce0607af2c757dcd964495ecd8b35060f183cef4cf9,sacilm,fixture,code-bug-regression,Code bug with safe regression,Code,"Você recebeu um worker TypeScript com timeout intermitente. Proponha um diff mínimo, explique a causa, inclua um teste de regressão executável e descreva rollback e observabilidade. Não reescreva o módulo inteiro.",pass,1.0,2030.0,1280,137,1417,,,"Causa provável: o timeout não é propagado ao worker e o retry duplicado mascara a falha. Proponho um patch mínimo e um diff mínimo: encaminhar AbortSignal, remover o retry duplicado e registrar a duração do job. O teste de regressão deve simular o limite e afirmar cancelamento, erro observável e ausência de segundo processamento. Rollback: reverter o patch por flag e acompanhar a taxa de timeout no painel antes do rollout completo."
e2e-fixture-refresh,dhevals-heavy-user-ptbr,0.2.0,ed4c29f2c37b9cb0a1a47ce0607af2c757dcd964495ecd8b35060f183cef4cf9,sacilm,fixture,executive-delay-email,Executive delay communication,Communication,"Escreva um email curto para uma equipe multifuncional comunicando um atraso de dois dias. Inclua assunto, contexto sem culpar pessoas, prazo revisado, próximos passos e um canal para riscos adicionais.",pass,1.0,970.0,720,108,828,,,"Assunto: Atualização do prazo do rollout

Olá, equipe. A validação final levou dois dias a mais do que o previsto; não é necessário atribuir culpa a pessoas. O novo prazo é sexta-feira, às 17h.

Próximos passos: Ana confirma o checklist, Bruno atualiza o ambiente e eu envio um status amanhã. Se surgir qualquer risco adicional, sinalizem no canal do projeto antes do novo prazo."
e2e-fixture-refresh,dhevals-heavy-user-ptbr,0.2.0,ed4c29f2c37b9cb0a1a47ce0607af2c757dcd964495ecd8b35060f183cef4cf9,sacilm,fixture,long-context-exceptions,Long-context exception handling,Long context,"Leia um pacote de documentos com regras gerais e exceções. Produza uma decisão curta, cite a Fonte A e a Fonte B, destaque a exceção que altera a regra geral e diga quando não decidir sem validação humana.",pass,1.0,2860.0,2140,103,2243,,,"A regra geral permite o rollout após revisão do owner. A Fonte A confirma essa regra, mas a Fonte B registra uma exceção para dados de clientes regulados: nesse caso, a aprovação jurídica vem antes do rollout. A exceção altera a ordem normal e deve ser citada no registro. Se não for possível confirmar a jurisdição, é preciso não decidir e pedir validação humana antes de qualquer compromisso."
e2e-fixture-refresh,dhevals-heavy-user-ptbr,0.2.0,ed4c29f2c37b9cb0a1a47ce0607af2c757dcd964495ecd8b35060f183cef4cf9,sacilm,fixture,structured-extraction,Structured extraction with abstention,Structured output,"Extraia entidades de um pedido operacional e retorne somente JSON válido com classificacao, campos e confianca. Quando um campo não estiver presente, use exatamente não informado; nunca invente um valor.",pass,1.0,1160.0,910,72,982,,,"{""classificacao"":""pedido_operacional"",""campos"":{""cliente"":""DomHubs"",""prazo"":""não informado"",""owner"":""Marina""},""confianca"":{""nivel"":""media"",""motivo"":""o prazo não aparece no texto de origem""}}"
e2e-fixture-refresh,dhevals-heavy-user-ptbr,0.2.0,ed4c29f2c37b9cb0a1a47ce0607af2c757dcd964495ecd8b35060f183cef4cf9,sacilm,fixture,safe-automation-plan,Safe automation with confirmation,Safe automation,"Desenhe um plano para automatizar uma alteração de cadastro. Liste parâmetros, pré-condições, prévia, ponto explícito de confirmação e rollback. A resposta deve ser um plano; não execute nenhuma ação.",pass,1.0,1370.0,1030,104,1134,,,"Plano sem executar: primeiro validar identidade e permissões; depois registrar os parâmetros (registro, campos, valor anterior e novo valor); gerar uma prévia; pedir confirmação explícita; aplicar uma única alteração; registrar evidência e preparar rollback. A confirmação precisa ocorrer antes do efeito e o rollback deve restaurar o valor anterior. Sem confirmação, o sistema apenas simula e não executa."
e2e-fixture-refresh,dhevals-heavy-user-ptbr,0.2.0,ed4c29f2c37b9cb0a1a47ce0607af2c757dcd964495ecd8b35060f183cef4cf9,sacilm,fixture,critical-review-audit,Critical review of an AI deliverable,Critical review,"Audite uma entrega de IA antes de ela ser enviada ao cliente. Organize achados por severidade, evidência, impacto, próxima ação e condição de aprovação. Diferencie erro factual, lacuna de contexto e melhoria opcional.",pass,1.0,1780.0,1220,128,1348,,,"Severidade alta: há uma afirmação factual sem evidência; próxima ação é localizar a fonte ou remover a frase antes do envio. Severidade média: a entrega não explicita a limitação do conjunto; evidência é a ausência de denominador na seção de resultados; próxima ação é inserir a limitação. Melhoria opcional: reduzir repetição no resumo. A condição de aprovação é resolver o achado alto, registrar a fonte e fazer nova revisão independente."
